MEMBER_NO,ENROLLED_DATE,BIRTH_DATE,GENDER,CIVIL_STATUS,BRANCH_CODE,BRANCH_TYPE,STATE
6139574815,2017-12-26,1973-03-18,M,D,MOB,MOBILE,TAS
6458793554,2018-07-16,1988-08-04,F,W,MOB,MOBILE,WA
1398393696,2019-12-19,1972-12-23,F,M,349,STORE,SA
564680787,2017-06-23,1973-12-03,F,S,005,STORE,TAS
6434592226,2018-10-02,1976-09-27,F,S,341,STORE,QLD
118115511,2018-11-23,2002-10-15,M,W,MOB,MOBILE,ACT
6820598982,2018-08-07,1997-09-12,F,W,239,STORE,NSW
2008621756,2018-04-05,2005-05-15,F,S,178,STORE,VIC
9198645410,2019-09-06,1972-09-01,M,S,MOB,MOBILE,SA
229705025,2017-07-20,1999-07-11,O,W,MOB,MOBILE,TAS
692785660,2018-11-08,1983-09-14,M,S,605,STORE,VIC
7450905072,2018-08-27,1989-02-14,O,W,187,STORE,WA
387007870,2017-11-10,1972-05-14,M,S,MOB,MOBILE,NT
1667031409,2017-09-15,1972-10-04,O,D,MOB,MOBILE,QLD
4061946010,2017-05-04,2004-10-08,O,W,115,STORE,NSW
3776603233,2017-12-19,1975-10-07,O,S,361,STORE,SA
268074048,2019-10-28,1982-03-09,M,S,MOB,MOBILE,SA
6830529338,2019-03-27,2004-04-05,O,M,327,STORE,ACT
4162155917,2019-10-03,1971-04-13,O,S,MOB,MOBILE,TAS
5760668309,2017-07-24,1985-02-05,M,S,MOB,MOBILE,SA
7406657285,2018-08-18,1999-01-29,F,S,MOB,MOBILE,ACT
2248182711,2019-02-18,1982-08-09,M,D,MOB,MOBILE,NT
205741029,2017-09-15,1983-06-04,F,S,138,STORE,SA
2686318761,2017-05-17,1983-12-08,M,W,932,STORE,NSW
8322782395,2017-04-05,1986-11-29,M,D,MOB,MOBILE,ACT
7011959160,2018-09-24,1996-02-25,F,D,709,STORE,TAS
5603169505,2017-09-27,1999-02-01,F,S,MOB,MOBILE,VIC
7246493590,2017-04-24,2005-03-08,M,S,869,STORE,QLD
5322070137,2017-09-16,1993-08-02,O,D,967,STORE,TAS
8221539845,2019-02-18,1978-04-06,O,S,629,STORE,TAS
6340039010,2018-03-17,2000-05-23,F,D,547,STORE,TAS
4762319880,2018-10-02,1986-02-23,O,W,MOB,MOBILE,QLD
1469594552,2018-01-01,1991-03-11,O,W,MOB,MOBILE,NSW
8483649116,2019-02-11,1981-11-01,F,S,337,STORE,NT
9243684105,2019-08-26,1986-04-25,M,M,014,STORE,NSW
4083975578,2019-08-18,2000-02-27,M,W,MOB,MOBILE,NT
9180218654,2019-03-23,1974-09-28,O,M,MOB,MOBILE,NSW
9498839575,2017-10-20,1975-07-12,O,W,MOB,MOBILE,WA
173431185,2017-07-11,1978-10-02,F,S,265,STORE,NSW
6776963760,2018-03-25,1971-02-24,O,M,536,STORE,NT
189215086,2017-08-10,1971-08-02,O,S,751,STORE,QLD
166496594,2017-05-25,2000-12-19,M,S,995,STORE,ACT
9238159636,2017-04-08,1984-09-03,F,S,774,STORE,SA
9791405095,2019-11-06,1994-07-02,M,W,MOB,MOBILE,TAS
382684074,2019-10-13,1980-12-15,O,S,630,STORE,TAS
6351025023,2018-11-16,1983-01-01,M,D,183,STORE,SA
9291403076,2017-06-13,1994-08-22,M,M,704,STORE,SA
8220516655,2019-09-25,1995-01-18,F,S,552,STORE,TAS
5994104620,2018-01-29,1974-02-21,F,S,MOB,MOBILE,SA
7239443042,2019-12-27,1993-10-25,M,W,MOB,MOBILE,SA
6881211538,2019-08-01,2004-09-18,F,S,MOB,MOBILE,NT
8487865640,2018-11-01,2002-06-12,O,D,432,STORE,SA
6843892889,2017-01-10,1990-11-02,M,S,175,STORE,NT
9080123061,2018-08-09,2001-01-17,O,M,MOB,MOBILE,SA
8688607341,2018-06-15,2001-06-01,O,W,174,STORE,NT
2139769058,2019-10-31,1984-11-24,F,D,MOB,MOBILE,QLD
6614344072,2018-11-12,1991-02-02,M,D,980,STORE,SA
7286504143,2017-03-18,1972-09-01,M,S,MOB,MOBILE,ACT
9396000655,2018-06-28,1976-01-23,M,W,MOB,MOBILE,QLD
3881459743,2018-01-02,1984-09-07,O,W,MOB,MOBILE,NT
3152918110,2018-09-15,2003-03-12,F,S,MOB,MOBILE,NT
3804263135,2018-04-17,1971-06-19,F,D,918,STORE,ACT
2572231117,2018-11-19,2002-04-16,O,W,590,STORE,QLD
8873604463,2017-01-11,1971-03-20,O,M,MOB,MOBILE,QLD
2915740013,2018-10-30,1991-05-27,F,M,MOB,MOBILE,ACT
3904348128,2018-11-03,1980-01-11,M,D,MOB,MOBILE,QLD
8675440364,2017-10-15,1984-07-17,M,W,MOB,MOBILE,QLD
9867749546,2019-09-27,1974-09-28,F,M,MOB,MOBILE,VIC
1105647933,2018-05-20,1986-11-04,O,S,MOB,MOBILE,QLD
8514398110,2019-03-04,1993-09-05,F,D,460,STORE,WA
6849528727,2018-05-20,1972-11-02,F,M,MOB,MOBILE,QLD
8163844291,2019-08-17,1982-08-19,M,S,684,STORE,SA
5165399423,2017-12-20,1973-01-13,F,W,598,STORE,NT
4966997915,2017-12-31,1985-02-16,F,W,860,STORE,SA
6108327936,2017-01-05,2000-09-18,O,M,MOB,MOBILE,TAS
2020023446,2017-06-11,1970-07-17,O,W,665,STORE,TAS
7522068519,2018-06-15,1979-11-14,O,S,MOB,MOBILE,VIC
1175369432,2019-09-25,1995-09-02,O,M,MOB,MOBILE,ACT
9773743356,2018-08-15,1971-08-30,M,M,032,STORE,TAS
7661895244,2019-02-01,1971-12-14,O,M,MOB,MOBILE,WA
9605392159,2018-04-18,1975-01-06,O,S,680,STORE,NT
3679090534,2017-10-28,1977-04-27,O,D,066,STORE,NT
9885009492,2018-10-27,1987-05-12,F,S,735,STORE,WA
9627624195,2018-02-17,1985-12-28,M,S,MOB,MOBILE,VIC
7589970518,2017-06-28,1992-10-14,M,D,MOB,MOBILE,TAS
6468172581,2018-05-15,1990-07-30,O,S,175,STORE,SA
1255710630,2018-09-24,1983-02-10,F,M,853,STORE,SA
4754692271,2018-06-09,1976-10-21,O,M,472,STORE,NSW
3530390448,2018-05-10,2004-06-13,M,W,718,STORE,NT
1648740899,2019-04-21,2005-10-07,F,W,161,STORE,ACT
3100165542,2017-08-14,1992-04-11,F,S,MOB,MOBILE,ACT
7739065397,2018-03-31,1971-07-19,O,D,MOB,MOBILE,SA
3932845810,2019-05-02,1974-09-28,O,M,296,STORE,ACT
1228708219,2017-05-16,2005-09-30,M,S,MOB,MOBILE,TAS
202646992,2018-06-08,1988-03-05,F,S,584,STORE,SA
4770748134,2018-04-12,1997-03-24,O,D,658,STORE,TAS
9241186481,2017-07-30,1979-02-21,M,W,MOB,MOBILE,ACT
7730709041,2017-07-09,1993-10-02,M,S,MOB,MOBILE,VIC
4830590196,2019-10-03,1975-11-27,M,M,MOB,MOBILE,VIC
5240065487,2018-03-31,2005-02-10,M,S,063,STORE,WA
4327729164,2018-06-06,1989-08-12,F,D,172,STORE,WA
7268577364,2019-04-23,1997-09-22,F,W,MOB,MOBILE,SA
2870161869,2017-12-14,1998-12-11,F,S,763,STORE,SA
3431448850,2017-02-12,1974-03-13,O,M,577,STORE,VIC
604569769,2019-08-25,1982-04-20,M,S,413,STORE,VIC
4548316464,2019-03-03,1970-03-18,O,D,MOB,MOBILE,NSW
8139269051,2019-09-03,1990-12-15,F,W,104,STORE,NT
7289921852,2017-10-09,1991-02-23,O,W,374,STORE,QLD
1957130562,2018-09-24,1985-01-23,F,D,MOB,MOBILE,ACT
1263380975,2018-02-10,2000-10-18,F,S,MOB,MOBILE,QLD
3757499701,2018-07-19,1984-06-28,F,S,046,STORE,WA
7269370137,2018-07-12,1986-10-13,F,S,MOB,MOBILE,VIC
9916094557,2017-04-02,1983-12-04,M,S,MOB,MOBILE,WA
2650453236,2019-07-22,1977-06-30,O,M,MOB,MOBILE,VIC
6407607554,2017-03-07,1984-04-22,F,D,MOB,MOBILE,VIC
1572048751,2019-07-10,1983-09-20,O,W,MOB,MOBILE,QLD
8609202094,2018-07-12,2003-12-29,F,M,MOB,MOBILE,SA
4169194998,2017-12-13,1993-03-02,F,M,790,STORE,ACT
8603196910,2017-05-11,1988-05-26,M,D,MOB,MOBILE,SA
5012282861,2019-11-23,1971-01-08,O,M,783,STORE,SA
7554387727,2019-03-10,1987-12-31,F,W,MOB,MOBILE,NT
8462583437,2017-11-03,1989-12-29,M,W,034,STORE,VIC
2779281551,2017-03-13,1987-02-08,O,W,862,STORE,NSW
3233541416,2017-10-06,1980-04-20,F,W,MOB,MOBILE,TAS
8158419831,2018-11-27,1981-09-29,O,M,615,STORE,TAS
4424859566,2017-06-03,1984-09-29,O,S,MOB,MOBILE,QLD
8501194547,2018-07-17,1973-07-02,O,S,MOB,MOBILE,NT
6846505236,2018-01-10,1970-06-24,M,M,MOB,MOBILE,TAS
8226257893,2017-01-28,1982-04-05,O,S,MOB,MOBILE,NT
1217638412,2017-06-25,1984-05-29,O,D,MOB,MOBILE,WA
9505036715,2018-04-29,1978-02-04,F,W,MOB,MOBILE,NT
1961906188,2019-03-31,1980-11-26,F,S,924,STORE,QLD
5287077878,2017-12-08,1986-05-01,F,S,MOB,MOBILE,WA
4230619246,2017-06-05,1974-12-05,M,D,MOB,MOBILE,WA
8650700050,2017-05-14,1974-09-23,M,D,467,STORE,TAS
2643269965,2018-12-19,1990-03-13,F,W,MOB,MOBILE,NSW
6615409165,2017-11-01,1996-05-20,O,M,MOB,MOBILE,TAS
4940371747,2018-11-23,1992-05-17,M,M,004,STORE,VIC
490057406,2017-11-01,1981-04-23,F,W,196,STORE,NT
4182966725,2019-12-07,1989-01-23,O,M,530,STORE,WA
8502021373,2019-08-02,1979-07-30,M,S,MOB,MOBILE,TAS
9692476302,2018-09-19,2001-05-30,O,D,592,STORE,SA
2880058037,2017-02-16,1991-07-07,F,D,MOB,MOBILE,QLD
9826792136,2018-03-16,2003-10-19,O,W,MOB,MOBILE,SA
7932421029,2019-07-04,1999-01-17,F,D,345,STORE,WA
5598901026,2018-12-20,1980-05-13,F,D,MOB,MOBILE,NT
3086899806,2018-12-23,1983-03-19,M,W,MOB,MOBILE,NSW
4606875962,2017-11-29,1988-01-24,O,W,MOB,MOBILE,ACT
7809442613,2017-02-27,1990-10-06,O,M,107,STORE,NT
3668552772,2019-04-16,1972-04-16,M,D,965,STORE,SA
1063882148,2018-12-06,1998-10-24,O,S,MOB,MOBILE,QLD
5260749816,2017-01-13,1990-12-25,O,D,MOB,MOBILE,WA
8227060436,2017-05-12,1989-03-04,M,W,MOB,MOBILE,SA
6213963381,2019-03-12,1983-10-20,O,M,811,STORE,QLD
3398113609,2018-10-26,2004-03-11,F,S,594,STORE,VIC
5686841125,2018-10-11,1988-03-02,F,S,MOB,MOBILE,NSW
5750363388,2019-04-07,1974-02-09,O,D,193,STORE,QLD
5956904540,2019-12-15,1973-07-23,F,M,MOB,MOBILE,TAS
1069505031,2019-01-30,1992-09-14,M,S,268,STORE,WA
2260831182,2018-10-23,1972-01-04,M,D,951,STORE,NT
2331919524,2018-04-12,1976-07-18,M,D,819,STORE,NSW
5300970980,2018-08-30,1979-11-29,F,D,427,STORE,WA
9114186656,2018-10-26,1985-11-27,M,W,047,STORE,VIC
3859693997,2019-07-12,1978-05-19,F,W,MOB,MOBILE,NSW
8646857015,2019-08-07,1999-02-22,O,M,062,STORE,WA
8382107800,2019-10-02,1976-07-15,M,W,063,STORE,NT
5946551297,2018-05-30,1992-07-07,M,W,MOB,MOBILE,NT
6448031135,2018-11-22,1983-10-06,O,M,011,STORE,NSW
6409482227,2018-10-15,1979-03-05,F,W,087,STORE,NSW
8870324013,2017-02-23,2004-04-20,M,S,MOB,MOBILE,NT
5277479308,2017-06-18,1993-07-11,M,M,932,STORE,ACT
3793012760,2018-03-06,2003-06-15,M,W,962,STORE,QLD
929337859,2017-11-26,1982-02-04,M,S,339,STORE,ACT
6480599396,2017-04-09,2000-08-28,O,D,168,STORE,NSW
2422003422,2017-10-23,1991-06-10,M,W,592,STORE,SA
8319714154,2019-10-02,1979-08-10,M,D,581,STORE,SA
3982250040,2018-08-25,1999-10-16,F,M,MOB,MOBILE,ACT
4729953586,2019-08-28,1979-07-20,F,W,905,STORE,SA
5056144805,2018-02-08,1995-07-09,M,S,MOB,MOBILE,ACT
3395023016,2019-11-24,1997-06-04,O,D,MOB,MOBILE,ACT
2560253946,2019-11-09,1987-04-11,F,W,MOB,MOBILE,VIC
2794062681,2018-05-04,1987-12-11,M,S,196,STORE,NSW
557617689,2017-02-02,2004-04-03,M,M,466,STORE,NSW
2722119903,2017-06-02,1982-12-17,M,S,MOB,MOBILE,WA
7351788664,2017-02-22,1995-12-01,M,W,MOB,MOBILE,ACT
6589510891,2019-08-30,1982-06-22,M,M,409,STORE,QLD
8923802473,2019-02-01,1990-09-11,M,M,750,STORE,NT
9167869477,2018-07-18,1984-11-21,F,S,887,STORE,TAS
4115368141,2017-08-16,1973-01-21,O,M,748,STORE,VIC
7773053501,2017-11-23,1970-08-06,O,D,MOB,MOBILE,QLD
808529290,2019-11-03,1982-11-11,O,D,MOB,MOBILE,VIC
9787581942,2018-04-06,1970-09-09,M,M,309,STORE,NSW
9145256960,2018-07-20,1997-06-29,M,W,203,STORE,QLD
5820700385,2018-04-24,1985-11-17,O,S,539,STORE,QLD
2412994167,2018-04-30,1973-08-09,O,W,229,STORE,VIC
8867349901,2019-02-09,1983-11-11,F,D,393,STORE,NT
7128163974,2018-03-25,1996-10-18,F,M,961,STORE,VIC
3388746269,2017-03-11,1985-05-02,F,M,MOB,MOBILE,SA
7699337822,2017-02-26,1985-03-25,F,D,879,STORE,SA
2064700637,2017-03-18,1994-10-10,F,M,MOB,MOBILE,TAS
178181510,2018-10-03,1986-02-23,F,D,MOB,MOBILE,NSW
7164137673,2019-12-17,1991-09-29,F,W,MOB,MOBILE,TAS
9850295736,2018-11-24,1971-06-14,M,S,MOB,MOBILE,SA
9007281457,2019-01-19,1978-08-14,O,M,088,STORE,ACT
9824321415,2019-07-18,2000-01-18,F,W,101,STORE,WA
6853468851,2017-08-15,1986-02-11,F,D,380,STORE,SA
3796277608,2017-08-27,1973-07-03,O,M,MOB,MOBILE,QLD
7214887750,2018-01-03,1988-09-29,O,S,860,STORE,TAS
2307093090,2017-06-23,1977-06-16,F,D,696,STORE,NT
9363381728,2019-02-11,1976-03-20,F,S,055,STORE,NSW
8245103453,2018-06-05,1972-08-02,F,S,MOB,MOBILE,NSW
3075625688,2018-11-19,1999-02-18,O,D,MOB,MOBILE,VIC
3071340812,2018-03-13,1977-03-14,F,D,MOB,MOBILE,TAS
6718489155,2019-05-17,1986-09-14,M,W,315,STORE,QLD
5466874415,2018-07-01,2001-06-18,F,S,MOB,MOBILE,SA
8205723345,2019-01-31,1991-11-20,F,M,MOB,MOBILE,ACT
351459052,2018-07-19,1997-06-30,M,S,659,STORE,SA
5065568174,2017-05-25,1986-05-30,M,D,MOB,MOBILE,VIC
1362994064,2017-03-22,1994-04-09,M,D,MOB,MOBILE,QLD
7994499418,2019-01-05,1975-05-31,M,D,MOB,MOBILE,ACT
9428336484,2017-06-13,2001-10-13,F,S,MOB,MOBILE,NT
8220095229,2017-03-28,1988-06-08,F,M,MOB,MOBILE,WA
2756648105,2017-04-12,1997-04-25,F,S,086,STORE,NSW
6193324599,2017-03-04,2003-07-03,M,D,720,STORE,NSW
4242193892,2019-08-01,1970-06-14,M,S,532,STORE,VIC
6262297919,2019-04-19,2001-08-21,M,W,618,STORE,ACT
5711619681,2017-12-08,2004-08-29,M,W,MOB,MOBILE,NT
8639419681,2018-05-16,1983-12-14,M,W,631,STORE,NT
7582533583,2017-02-28,1975-08-05,M,W,MOB,MOBILE,QLD
1520031105,2018-02-21,1987-03-07,O,M,902,STORE,QLD
1084934139,2018-08-15,1977-01-12,F,M,MOB,MOBILE,VIC
9677748283,2017-02-21,1980-07-08,F,S,MOB,MOBILE,NSW
8656166143,2018-10-11,1998-06-26,F,M,MOB,MOBILE,TAS
3939103841,2017-09-12,2003-12-04,O,D,MOB,MOBILE,WA
98405308,2019-02-19,1984-11-16,O,M,MOB,MOBILE,VIC
6891883848,2019-09-13,1984-06-01,F,D,MOB,MOBILE,ACT
9056726659,2018-02-22,1999-09-30,O,D,MOB,MOBILE,NT
895908651,2017-08-12,1985-08-20,M,S,475,STORE,QLD
7329716239,2019-12-08,1993-11-28,O,S,MOB,MOBILE,SA
9051631933,2018-03-20,1982-08-03,F,W,MOB,MOBILE,VIC
5780608098,2019-07-09,1972-05-10,O,W,MOB,MOBILE,VIC
8777896359,2018-08-12,2001-09-16,O,D,868,STORE,ACT
2445410963,2017-03-07,1980-11-15,O,S,888,STORE,VIC
216655332,2017-02-23,1999-07-20,O,D,MOB,MOBILE,VIC
8832988955,2019-02-16,2005-05-18,F,D,MOB,MOBILE,QLD
