MEMBER_NO,DATE,BRANCH_CODE,BRANCH_TYPE,AMOUNT,CURRENCY,TRAN_CODE,TRAN_DESC
3239917714,2020-09-23,MOB,MOBILE,8593.75,PHP,IN1002,TYPE2
9338541456,2020-03-21,MOB,MOBILE,474.25,PHP,IN1002,TYPE2
2953803511,2020-02-11,MOB,MOBILE,5333.00,PHP,IN1005,TYPE5
0126916953,2020-05-29,MOB,MOBILE,3796.75,PHP,IN1003,TYPE3
4285789247,2020-11-17,MOB,MOBILE,9154.00,PHP,IN1003,TYPE3
3748809236,2020-02-02,MOB,MOBILE,203.75,PHP,IN1005,TYPE5
3171795935,2020-06-21,911,STORE,7154.50,PHP,IN1005,TYPE5
7186386037,2020-06-27,124,STORE,2073.50,PHP,IN1004,TYPE4
1755042033,2020-04-24,086,STORE,5132.25,PHP,IN1003,TYPE3
6348567626,2020-04-17,692,STORE,6651.75,PHP,IN1004,TYPE4
8512515141,2020-09-05,MOB,MOBILE,7717.00,PHP,IN1005,TYPE5
7383145909,2020-07-16,471,STORE,4359.75,PHP,IN1003,TYPE3
2949944732,2020-11-28,MOB,MOBILE,6148.75,PHP,IN1005,TYPE5
0452817987,2020-10-06,057,STORE,1899.50,PHP,IN1004,TYPE4
9181859435,2020-09-14,MOB,MOBILE,4170.25,PHP,IN1001,TYPE1
6939805342,2020-04-15,191,STORE,156.25,PHP,IN1001,TYPE1
2064132570,2020-09-17,MOB,MOBILE,193.75,PHP,IN1002,TYPE2
5209602115,2020-12-10,645,STORE,5543.75,PHP,IN1005,TYPE5
0841629027,2020-04-20,976,STORE,4705.00,PHP,IN1002,TYPE2
8740079336,2020-12-21,929,STORE,184.50,PHP,IN1002,TYPE2
4064755192,2020-10-09,879,STORE,3068.25,PHP,IN1005,TYPE5
0110553982,2020-04-19,918,STORE,283.50,PHP,IN1003,TYPE3
7816593611,2020-01-26,MOB,MOBILE,4420.00,PHP,IN1005,TYPE5
8883609117,2020-11-13,673,STORE,3738.25,PHP,IN1001,TYPE1
3169890103,2020-02-01,970,STORE,1139.50,PHP,IN1002,TYPE2
0545982002,2020-03-03,402,STORE,9598.00,PHP,IN1004,TYPE4
0373434831,2020-06-09,303,STORE,9445.75,PHP,IN1003,TYPE3
3283900473,2020-07-07,MOB,MOBILE,8520.75,PHP,IN1001,TYPE1
6720964416,2020-06-17,123,STORE,498.25,PHP,IN1004,TYPE4
0359404861,2020-06-01,MOB,MOBILE,624.00,PHP,IN1003,TYPE3
4296499185,2020-08-18,219,STORE,5156.50,PHP,IN1003,TYPE3
8840509364,2020-01-18,MOB,MOBILE,2124.50,PHP,IN1005,TYPE5
4312961564,2020-04-22,509,STORE,4221.50,PHP,IN1001,TYPE1
2321702280,2020-09-18,791,STORE,2010.00,PHP,IN1004,TYPE4
5640605575,2020-11-30,071,STORE,9729.25,PHP,IN1005,TYPE5
7274773502,2020-09-23,166,STORE,674.50,PHP,IN1003,TYPE3
6367208624,2020-08-04,MOB,MOBILE,849.75,PHP,IN1001,TYPE1
2419160431,2020-01-13,MOB,MOBILE,940.25,PHP,IN1002,TYPE2
5410826522,2020-12-16,801,STORE,6994.00,PHP,IN1003,TYPE3
9228856536,2020-04-11,MOB,MOBILE,7000.00,PHP,IN1005,TYPE5
8334164074,2020-09-16,630,STORE,2990.50,PHP,IN1001,TYPE1
0280428498,2020-11-01,MOB,MOBILE,8942.00,PHP,IN1002,TYPE2
5117733558,2020-04-28,442,STORE,7597.00,PHP,IN1004,TYPE4
8917830222,2020-12-08,MOB,MOBILE,5164.00,PHP,IN1005,TYPE5
3422601146,2020-04-26,110,STORE,9136.75,PHP,IN1001,TYPE1
9840653850,2020-12-15,876,STORE,4226.75,PHP,IN1003,TYPE3
1203787191,2020-07-01,141,STORE,5743.50,PHP,IN1004,TYPE4
6655319093,2020-01-01,MOB,MOBILE,3784.75,PHP,IN1005,TYPE5
4649144223,2020-06-26,MOB,MOBILE,9687.00,PHP,IN1005,TYPE5
2363338358,2020-11-30,429,STORE,266.50,PHP,IN1005,TYPE5
8091765801,2020-08-25,MOB,MOBILE,7294.75,PHP,IN1002,TYPE2
4090033023,2020-07-29,MOB,MOBILE,5836.00,PHP,IN1004,TYPE4
1424628066,2020-01-12,MOB,MOBILE,6174.50,PHP,IN1002,TYPE2
0876462321,2020-01-13,472,STORE,831.25,PHP,IN1001,TYPE1
0657913169,2020-10-25,MOB,MOBILE,7395.75,PHP,IN1001,TYPE1
0270192662,2020-06-28,771,STORE,5934.75,PHP,IN1002,TYPE2
5362141564,2020-02-05,690,STORE,6052.25,PHP,IN1003,TYPE3
3328303560,2020-10-14,MOB,MOBILE,5157.75,PHP,IN1004,TYPE4
4482585947,2020-12-13,896,STORE,5494.00,PHP,IN1001,TYPE1
4804744467,2020-12-04,MOB,MOBILE,4184.00,PHP,IN1005,TYPE5
3671134027,2020-10-21,MOB,MOBILE,5439.00,PHP,IN1001,TYPE1
9599204626,2020-11-27,599,STORE,6978.25,PHP,IN1002,TYPE2
3360650801,2020-05-31,MOB,MOBILE,1442.75,PHP,IN1003,TYPE3
1645279736,2020-01-06,813,STORE,2366.25,PHP,IN1005,TYPE5
7690271692,2020-03-02,726,STORE,2479.00,PHP,IN1005,TYPE5
5946092952,2020-02-24,MOB,MOBILE,3905.75,PHP,IN1005,TYPE5
8272402002,2020-11-28,178,STORE,4220.25,PHP,IN1002,TYPE2
1221418702,2020-01-30,MOB,MOBILE,6317.25,PHP,IN1004,TYPE4
6766607300,2020-11-05,842,STORE,8238.75,PHP,IN1001,TYPE1
4977529609,2020-09-10,071,STORE,2613.25,PHP,IN1001,TYPE1
6966654812,2020-08-02,MOB,MOBILE,1951.00,PHP,IN1003,TYPE3
6164395993,2020-10-07,MOB,MOBILE,3651.50,PHP,IN1003,TYPE3
6147562001,2020-01-11,MOB,MOBILE,9628.75,PHP,IN1005,TYPE5
9303732178,2020-04-15,MOB,MOBILE,633.25,PHP,IN1004,TYPE4
5852413377,2020-10-27,MOB,MOBILE,8141.50,PHP,IN1005,TYPE5
5621674516,2020-03-01,MOB,MOBILE,4219.00,PHP,IN1004,TYPE4
5273925611,2020-06-16,MOB,MOBILE,5689.50,PHP,IN1005,TYPE5
4741608962,2020-07-22,172,STORE,5246.00,PHP,IN1003,TYPE3
2581281791,2020-03-01,134,STORE,2200.50,PHP,IN1002,TYPE2
9905920856,2020-08-22,530,STORE,9899.00,PHP,IN1005,TYPE5
3861279787,2020-05-26,MOB,MOBILE,883.50,PHP,IN1005,TYPE5
5520575315,2020-12-09,284,STORE,2453.00,PHP,IN1005,TYPE5
7980801934,2020-03-20,MOB,MOBILE,5314.50,PHP,IN1005,TYPE5
5508781165,2020-12-27,450,STORE,488.50,PHP,IN1002,TYPE2
2651205797,2020-03-22,184,STORE,9763.75,PHP,IN1001,TYPE1
4569547848,2020-04-19,MOB,MOBILE,2754.75,PHP,IN1005,TYPE5
9785397223,2020-07-26,765,STORE,1358.50,PHP,IN1005,TYPE5
8233359396,2020-09-06,MOB,MOBILE,3320.25,PHP,IN1004,TYPE4
4417596770,2020-11-30,MOB,MOBILE,260.50,PHP,IN1005,TYPE5
2203396586,2020-02-06,973,STORE,5819.50,PHP,IN1005,TYPE5
0118746291,2020-02-03,502,STORE,1525.00,PHP,IN1003,TYPE3
4854331710,2020-08-18,MOB,MOBILE,8579.50,PHP,IN1005,TYPE5
6691961334,2020-02-28,458,STORE,9019.75,PHP,IN1002,TYPE2
1194947883,2020-09-12,670,STORE,5643.25,PHP,IN1005,TYPE5
1710884041,2020-10-14,MOB,MOBILE,3150.25,PHP,IN1001,TYPE1
7992708753,2020-01-11,377,STORE,8425.00,PHP,IN1004,TYPE4
9431905858,2020-02-06,MOB,MOBILE,2028.75,PHP,IN1002,TYPE2
0640909663,2020-11-22,MOB,MOBILE,7321.75,PHP,IN1003,TYPE3
1836331983,2020-05-17,MOB,MOBILE,3800.00,PHP,IN1005,TYPE5
5018055221,2020-12-19,155,STORE,7872.75,PHP,IN1004,TYPE4
6315609867,2020-10-26,366,STORE,6037.50,PHP,IN1001,TYPE1
8387311203,2020-03-10,MOB,MOBILE,8004.75,PHP,IN1001,TYPE1
2988453315,2020-05-24,806,STORE,157.50,PHP,IN1004,TYPE4
5149153835,2020-10-22,360,STORE,4497.75,PHP,IN1005,TYPE5
1453122643,2020-05-17,177,STORE,4601.25,PHP,IN1002,TYPE2
3963953538,2020-09-13,824,STORE,541.00,PHP,IN1005,TYPE5
6620677199,2020-03-29,MOB,MOBILE,8203.75,PHP,IN1005,TYPE5
6857021299,2020-07-19,190,STORE,2504.25,PHP,IN1001,TYPE1
1930775732,2020-01-11,325,STORE,1453.50,PHP,IN1002,TYPE2
3940687625,2020-10-08,MOB,MOBILE,6421.75,PHP,IN1004,TYPE4
9920962804,2020-02-28,MOB,MOBILE,4753.25,PHP,IN1005,TYPE5
6138590074,2020-01-01,MOB,MOBILE,5786.25,PHP,IN1002,TYPE2
7801040610,2020-09-18,MOB,MOBILE,7482.50,PHP,IN1001,TYPE1
0868232031,2020-05-31,399,STORE,589.50,PHP,IN1004,TYPE4
5412304087,2020-09-26,319,STORE,7683.75,PHP,IN1001,TYPE1
3104677835,2020-11-19,568,STORE,5536.00,PHP,IN1002,TYPE2
9983927482,2020-02-06,146,STORE,9205.25,PHP,IN1001,TYPE1
4239448459,2020-09-08,MOB,MOBILE,7525.25,PHP,IN1001,TYPE1
3629184177,2020-02-16,534,STORE,2477.25,PHP,IN1005,TYPE5
9767761607,2020-02-15,775,STORE,5394.75,PHP,IN1003,TYPE3
3883448293,2020-01-27,413,STORE,213.50,PHP,IN1003,TYPE3
2620564460,2020-06-04,MOB,MOBILE,362.25,PHP,IN1005,TYPE5
7487947411,2020-01-27,MOB,MOBILE,7710.50,PHP,IN1003,TYPE3
5553437741,2020-03-31,814,STORE,9124.50,PHP,IN1002,TYPE2
8830747427,2020-02-27,690,STORE,5128.25,PHP,IN1002,TYPE2
5746439203,2020-10-08,162,STORE,221.50,PHP,IN1004,TYPE4
9280050377,2020-01-23,MOB,MOBILE,4326.25,PHP,IN1001,TYPE1
6768813635,2020-10-10,188,STORE,12.75,PHP,IN1001,TYPE1
3722742801,2020-01-05,MOB,MOBILE,7605.25,PHP,IN1002,TYPE2
6019250501,2020-05-10,MOB,MOBILE,3588.75,PHP,IN1005,TYPE5
8777198293,2020-12-01,MOB,MOBILE,3854.25,PHP,IN1005,TYPE5
1533920767,2020-02-22,221,STORE,8318.25,PHP,IN1001,TYPE1
3798168192,2020-10-25,533,STORE,6291.00,PHP,IN1001,TYPE1
2078008360,2020-07-21,496,STORE,6197.00,PHP,IN1002,TYPE2
2186576139,2020-11-28,168,STORE,3534.00,PHP,IN1003,TYPE3
4352722953,2020-05-12,MOB,MOBILE,5828.25,PHP,IN1002,TYPE2
9857913238,2020-10-29,581,STORE,7545.25,PHP,IN1003,TYPE3
4838666449,2020-01-11,MOB,MOBILE,826.00,PHP,IN1002,TYPE2
9019064153,2020-12-16,004,STORE,4504.00,PHP,IN1005,TYPE5
0285624132,2020-12-20,MOB,MOBILE,8664.75,PHP,IN1001,TYPE1
0023887249,2020-06-03,599,STORE,3393.25,PHP,IN1004,TYPE4
4457819862,2020-01-31,502,STORE,1687.00,PHP,IN1001,TYPE1
4519916247,2020-05-03,794,STORE,5503.25,PHP,IN1004,TYPE4
9073945024,2020-02-14,MOB,MOBILE,5446.25,PHP,IN1003,TYPE3
8403390115,2020-05-31,MOB,MOBILE,8668.00,PHP,IN1005,TYPE5
5512862450,2020-08-26,MOB,MOBILE,2946.25,PHP,IN1002,TYPE2
3706784084,2020-09-08,654,STORE,5214.25,PHP,IN1001,TYPE1
7344596578,2020-10-06,MOB,MOBILE,2556.50,PHP,IN1005,TYPE5
5776500644,2020-08-13,401,STORE,6205.50,PHP,IN1001,TYPE1
2650957985,2020-12-17,MOB,MOBILE,1807.00,PHP,IN1004,TYPE4
0072611421,2020-06-18,892,STORE,4310.25,PHP,IN1005,TYPE5
0742136298,2020-10-03,MOB,MOBILE,6049.00,PHP,IN1004,TYPE4
5257909827,2020-09-29,452,STORE,1487.25,PHP,IN1003,TYPE3
0998315820,2020-04-06,190,STORE,3966.75,PHP,IN1005,TYPE5
4954162908,2020-09-27,MOB,MOBILE,2756.25,PHP,IN1005,TYPE5
4821419512,2020-08-14,MOB,MOBILE,4037.75,PHP,IN1005,TYPE5
9388660446,2020-01-03,915,STORE,130.50,PHP,IN1002,TYPE2
6005822104,2020-04-13,533,STORE,8734.25,PHP,IN1001,TYPE1
1599630951,2020-03-18,552,STORE,4009.00,PHP,IN1005,TYPE5
0287021273,2020-05-15,MOB,MOBILE,7763.00,PHP,IN1003,TYPE3
7120256384,2020-10-11,MOB,MOBILE,7447.00,PHP,IN1005,TYPE5
4543401019,2020-08-24,MOB,MOBILE,3608.00,PHP,IN1003,TYPE3
7570764436,2020-01-24,MOB,MOBILE,1434.75,PHP,IN1003,TYPE3
1079203068,2020-09-18,087,STORE,5156.75,PHP,IN1003,TYPE3
5214620122,2020-12-19,MOB,MOBILE,4482.75,PHP,IN1005,TYPE5
1471207293,2020-02-01,701,STORE,7496.75,PHP,IN1003,TYPE3
7285135753,2020-09-23,MOB,MOBILE,4347.00,PHP,IN1004,TYPE4
8616883961,2020-01-07,MOB,MOBILE,1373.50,PHP,IN1003,TYPE3
2298049870,2020-08-08,MOB,MOBILE,1127.75,PHP,IN1003,TYPE3
5232046761,2020-03-02,MOB,MOBILE,6380.25,PHP,IN1001,TYPE1
6098145218,2020-06-27,004,STORE,8349.50,PHP,IN1003,TYPE3
9180603886,2020-09-07,716,STORE,3602.75,PHP,IN1001,TYPE1
6455830259,2020-07-05,MOB,MOBILE,2768.25,PHP,IN1005,TYPE5
3543545313,2020-11-10,949,STORE,2094.25,PHP,IN1002,TYPE2
0203611452,2020-10-02,MOB,MOBILE,2552.75,PHP,IN1002,TYPE2
2048139906,2020-04-29,383,STORE,9182.50,PHP,IN1005,TYPE5
4481654669,2020-02-16,MOB,MOBILE,3140.50,PHP,IN1003,TYPE3
8990896708,2020-12-11,MOB,MOBILE,1652.25,PHP,IN1002,TYPE2
5323226981,2020-11-05,MOB,MOBILE,5525.50,PHP,IN1002,TYPE2
3897152572,2020-12-12,MOB,MOBILE,7793.50,PHP,IN1004,TYPE4
0438383197,2020-12-28,MOB,MOBILE,9862.50,PHP,IN1001,TYPE1
8747433329,2020-08-23,452,STORE,6167.00,PHP,IN1004,TYPE4
1367057825,2020-11-22,335,STORE,8462.75,PHP,IN1005,TYPE5
7016563877,2020-03-09,MOB,MOBILE,6764.50,PHP,IN1005,TYPE5
1484233568,2020-08-07,MOB,MOBILE,7749.75,PHP,IN1001,TYPE1
3822844675,2020-09-05,213,STORE,9749.50,PHP,IN1003,TYPE3
6345320276,2020-11-08,MOB,MOBILE,7058.25,PHP,IN1005,TYPE5
9992683463,2020-01-15,MOB,MOBILE,8186.00,PHP,IN1002,TYPE2
6127768997,2020-12-15,MOB,MOBILE,7064.00,PHP,IN1004,TYPE4
6896644162,2020-12-16,MOB,MOBILE,2531.75,PHP,IN1003,TYPE3
3304570589,2020-11-08,MOB,MOBILE,7512.00,PHP,IN1002,TYPE2
0801535262,2020-05-29,061,STORE,2466.00,PHP,IN1004,TYPE4
6541706915,2020-06-15,837,STORE,8345.50,PHP,IN1004,TYPE4
3214813065,2020-05-22,748,STORE,1033.25,PHP,IN1002,TYPE2
3004028864,2020-08-26,MOB,MOBILE,135.75,PHP,IN1003,TYPE3
2103963276,2020-03-08,544,STORE,3595.50,PHP,IN1003,TYPE3
0887878874,2020-10-29,420,STORE,3435.00,PHP,IN1004,TYPE4
8908107706,2020-01-06,664,STORE,4214.50,PHP,IN1004,TYPE4
0995846884,2020-10-31,MOB,MOBILE,9408.75,PHP,IN1005,TYPE5
1347208686,2020-03-30,576,STORE,8529.50,PHP,IN1002,TYPE2
3913659163,2020-04-01,979,STORE,7613.00,PHP,IN1003,TYPE3
9361231052,2020-07-31,MOB,MOBILE,241.00,PHP,IN1003,TYPE3
8370711072,2020-04-06,408,STORE,1186.00,PHP,IN1005,TYPE5
4512886560,2020-07-14,MOB,MOBILE,5350.50,PHP,IN1001,TYPE1
1493148770,2020-02-23,787,STORE,2914.25,PHP,IN1001,TYPE1
4457086345,2020-03-29,MOB,MOBILE,6989.00,PHP,IN1001,TYPE1
5844292828,2020-07-04,904,STORE,820.00,PHP,IN1001,TYPE1
8127962146,2020-09-05,MOB,MOBILE,2397.50,PHP,IN1002,TYPE2
3702299177,2020-11-24,MOB,MOBILE,8191.00,PHP,IN1001,TYPE1
8191221478,2020-06-02,MOB,MOBILE,1832.75,PHP,IN1004,TYPE4
6354488920,2020-10-30,737,STORE,4703.75,PHP,IN1005,TYPE5
1224549774,2020-03-28,MOB,MOBILE,6891.50,PHP,IN1005,TYPE5
8604575559,2020-07-29,MOB,MOBILE,4399.25,PHP,IN1005,TYPE5
4854833199,2020-01-31,033,STORE,4517.75,PHP,IN1003,TYPE3
3722281112,2020-06-28,680,STORE,7809.50,PHP,IN1001,TYPE1
7539227775,2020-05-08,MOB,MOBILE,1779.75,PHP,IN1004,TYPE4
0490187506,2020-03-21,MOB,MOBILE,1564.50,PHP,IN1003,TYPE3
8207133040,2020-06-03,402,STORE,5425.75,PHP,IN1005,TYPE5
4009607511,2020-11-04,487,STORE,4228.00,PHP,IN1002,TYPE2
5247848474,2020-02-24,145,STORE,2215.25,PHP,IN1001,TYPE1
6741120625,2020-12-13,249,STORE,1862.50,PHP,IN1004,TYPE4
9504437628,2020-10-09,390,STORE,7527.25,PHP,IN1005,TYPE5
8990952445,2020-11-25,827,STORE,4941.25,PHP,IN1005,TYPE5
0718711818,2020-07-29,MOB,MOBILE,6059.00,PHP,IN1004,TYPE4
2900578430,2020-11-15,112,STORE,6152.25,PHP,IN1003,TYPE3
1689324595,2020-01-10,845,STORE,8676.75,PHP,IN1005,TYPE5
3383926054,2020-06-09,564,STORE,7125.75,PHP,IN1002,TYPE2
5862836119,2020-06-22,MOB,MOBILE,7129.50,PHP,IN1001,TYPE1
5857694413,2020-11-17,MOB,MOBILE,8443.50,PHP,IN1001,TYPE1
8413982925,2020-02-04,MOB,MOBILE,3719.75,PHP,IN1003,TYPE3
4487482641,2020-04-26,115,STORE,2284.50,PHP,IN1003,TYPE3
5932928136,2020-11-03,423,STORE,5430.75,PHP,IN1005,TYPE5
4993451963,2020-02-15,MOB,MOBILE,5797.00,PHP,IN1001,TYPE1
0905193061,2020-06-15,320,STORE,6851.00,PHP,IN1004,TYPE4
9836856008,2020-02-03,MOB,MOBILE,4030.50,PHP,IN1002,TYPE2
3443704235,2020-04-23,MOB,MOBILE,8731.75,PHP,IN1004,TYPE4
7573576762,2020-05-28,906,STORE,9308.00,PHP,IN1003,TYPE3
5186661192,2020-01-03,913,STORE,5829.00,PHP,IN1003,TYPE3
3258949447,2020-08-02,MOB,MOBILE,1789.25,PHP,IN1001,TYPE1
7585895499,2020-06-12,MOB,MOBILE,688.25,PHP,IN1001,TYPE1
8580837326,2020-08-20,MOB,MOBILE,4955.75,PHP,IN1005,TYPE5
6759887963,2020-03-30,MOB,MOBILE,1744.50,PHP,IN1003,TYPE3
7993666353,2020-06-08,026,STORE,3075.50,PHP,IN1004,TYPE4
9298214487,2020-08-22,MOB,MOBILE,289.50,PHP,IN1003,TYPE3
1351969769,2020-05-19,531,STORE,1814.75,PHP,IN1005,TYPE5
8555945662,2020-08-12,261,STORE,995.25,PHP,IN1005,TYPE5
7084688258,2020-12-21,MOB,MOBILE,5285.00,PHP,IN1001,TYPE1
9614875161,2020-04-03,MOB,MOBILE,5176.75,PHP,IN1002,TYPE2
6516688537,2020-05-13,429,STORE,1242.25,PHP,IN1003,TYPE3
8522058708,2020-03-24,862,STORE,22.50,PHP,IN1003,TYPE3
7302525229,2020-10-28,MOB,MOBILE,6156.50,PHP,IN1004,TYPE4
4079354323,2020-09-26,MOB,MOBILE,5874.00,PHP,IN1005,TYPE5
2292502349,2020-10-03,MOB,MOBILE,8972.25,PHP,IN1001,TYPE1
4224579679,2020-03-23,621,STORE,3548.25,PHP,IN1001,TYPE1
2756734909,2020-03-06,244,STORE,1235.00,PHP,IN1002,TYPE2
6229728993,2020-03-08,MOB,MOBILE,9827.25,PHP,IN1003,TYPE3
2618793824,2020-04-13,MOB,MOBILE,2887.25,PHP,IN1001,TYPE1
6797460742,2020-07-31,MOB,MOBILE,9034.50,PHP,IN1005,TYPE5
1387710311,2020-09-07,930,STORE,2902.25,PHP,IN1002,TYPE2
4165957208,2020-03-14,686,STORE,8833.75,PHP,IN1001,TYPE1
8254200830,2020-03-08,MOB,MOBILE,5308.75,PHP,IN1001,TYPE1
7832660225,2020-01-14,140,STORE,8111.00,PHP,IN1001,TYPE1
3841611848,2020-11-13,MOB,MOBILE,9798.50,PHP,IN1004,TYPE4
2124398895,2020-01-04,048,STORE,2748.50,PHP,IN1003,TYPE3
4659716970,2020-04-19,329,STORE,1728.25,PHP,IN1001,TYPE1
8275753289,2020-10-28,MOB,MOBILE,3481.50,PHP,IN1004,TYPE4
6519007783,2020-03-01,MOB,MOBILE,2200.50,PHP,IN1003,TYPE3
3606457381,2020-06-11,MOB,MOBILE,8214.75,PHP,IN1005,TYPE5
7831280079,2020-10-16,794,STORE,6944.00,PHP,IN1001,TYPE1
4182338181,2020-05-05,MOB,MOBILE,4019.25,PHP,IN1003,TYPE3
8454391815,2020-03-17,951,STORE,1134.50,PHP,IN1003,TYPE3
3171532151,2020-07-24,MOB,MOBILE,1271.75,PHP,IN1005,TYPE5
9791873254,2020-07-31,549,STORE,5426.75,PHP,IN1003,TYPE3
4681053119,2020-04-21,MOB,MOBILE,4982.75,PHP,IN1005,TYPE5
7018812269,2020-05-08,MOB,MOBILE,5719.00,PHP,IN1004,TYPE4
7753047832,2020-02-27,671,STORE,4879.75,PHP,IN1004,TYPE4
9433186253,2020-04-22,883,STORE,2038.25,PHP,IN1002,TYPE2
5589111920,2020-11-24,MOB,MOBILE,2804.00,PHP,IN1003,TYPE3
5542857934,2020-01-14,717,STORE,5629.50,PHP,IN1004,TYPE4
8515078742,2020-03-05,231,STORE,8776.00,PHP,IN1002,TYPE2
5682329133,2020-05-11,MOB,MOBILE,5556.00,PHP,IN1002,TYPE2
1176378508,2020-04-24,947,STORE,7134.00,PHP,IN1005,TYPE5
9264746472,2020-04-26,MOB,MOBILE,4572.50,PHP,IN1005,TYPE5
4492856838,2020-12-15,MOB,MOBILE,8806.50,PHP,IN1004,TYPE4
4549581164,2020-05-19,151,STORE,7998.00,PHP,IN1005,TYPE5
9212479496,2020-03-22,268,STORE,3724.75,PHP,IN1005,TYPE5
4505194376,2020-07-23,317,STORE,9053.75,PHP,IN1001,TYPE1
1185817580,2020-11-17,030,STORE,6198.25,PHP,IN1003,TYPE3
4912774736,2020-02-05,794,STORE,4613.75,PHP,IN1004,TYPE4
6736946989,2020-08-29,995,STORE,2275.50,PHP,IN1004,TYPE4
6682657036,2020-03-30,915,STORE,5231.00,PHP,IN1004,TYPE4
1213973740,2020-11-21,625,STORE,8184.75,PHP,IN1005,TYPE5
4719515110,2020-05-20,MOB,MOBILE,9303.50,PHP,IN1003,TYPE3
8024193124,2020-02-09,MOB,MOBILE,9544.00,PHP,IN1002,TYPE2
8061408564,2020-12-26,454,STORE,7591.25,PHP,IN1002,TYPE2
4069392529,2020-08-02,MOB,MOBILE,4648.50,PHP,IN1003,TYPE3
4606771924,2020-07-01,MOB,MOBILE,7639.75,PHP,IN1004,TYPE4
8841995952,2020-12-14,MOB,MOBILE,7961.00,PHP,IN1004,TYPE4
2786133670,2020-04-10,634,STORE,7819.50,PHP,IN1001,TYPE1
5362603645,2020-04-18,663,STORE,8234.25,PHP,IN1004,TYPE4
9147877207,2020-12-23,MOB,MOBILE,3539.00,PHP,IN1004,TYPE4
6528248737,2020-06-24,MOB,MOBILE,3692.75,PHP,IN1003,TYPE3
7261724919,2020-11-17,MOB,MOBILE,2135.25,PHP,IN1005,TYPE5
4911889807,2020-12-18,MOB,MOBILE,6994.25,PHP,IN1003,TYPE3
8801399331,2020-11-08,MOB,MOBILE,6008.75,PHP,IN1003,TYPE3
6679759179,2020-02-01,MOB,MOBILE,4980.75,PHP,IN1004,TYPE4
1030897834,2020-11-19,230,STORE,2689.75,PHP,IN1002,TYPE2
8888822848,2020-05-11,290,STORE,2719.75,PHP,IN1003,TYPE3
5714564254,2020-10-25,MOB,MOBILE,8220.25,PHP,IN1004,TYPE4
0219446170,2020-09-17,686,STORE,3838.75,PHP,IN1001,TYPE1
4392357878,2020-06-03,874,STORE,2945.00,PHP,IN1004,TYPE4
4865160040,2020-01-29,092,STORE,6536.00,PHP,IN1005,TYPE5
5351250373,2020-09-09,MOB,MOBILE,2043.00,PHP,IN1004,TYPE4
0535356180,2020-07-28,778,STORE,5902.25,PHP,IN1003,TYPE3
0726460712,2020-10-11,077,STORE,3432.25,PHP,IN1004,TYPE4
0396017918,2020-08-24,498,STORE,9476.00,PHP,IN1005,TYPE5
1943735027,2020-09-24,617,STORE,2407.25,PHP,IN1002,TYPE2
5479280907,2020-08-28,MOB,MOBILE,6814.50,PHP,IN1004,TYPE4
1855616486,2020-03-20,239,STORE,5425.00,PHP,IN1004,TYPE4
7794443149,2020-05-06,781,STORE,4712.75,PHP,IN1005,TYPE5
4669814400,2020-08-19,MOB,MOBILE,5697.25,PHP,IN1002,TYPE2
0422004606,2020-12-24,MOB,MOBILE,4092.25,PHP,IN1001,TYPE1
7303556436,2020-06-18,310,STORE,8157.75,PHP,IN1004,TYPE4
7361355261,2020-07-24,242,STORE,2792.00,PHP,IN1004,TYPE4
